instant,dteday,season,yr,workingday,weathersit,temp,hum,windspeed,casual,registered
1,01/01/2011,1,0,0,2,0.344167,0.805833,0.160446,331,654
2,01/02/2011,1,0,0,2,0.363478,0.696087,0.248539,131,670
3,01/03/2011,1,0,1,1,0.196364,0.437273,0.248309,120,1229
4,01/04/2011,1,0,1,1,0.2,0.590435,0.160296,108,1454
5,01/05/2011,1,0,1,1,0.226957,0.436957,0.1869,82,1518
6,01/06/2011,1,0,1,1,0.204348,0.518261,0.0895652,88,1518
7,01/07/2011,1,0,1,2,0.196522,0.498696,0.168726,148,1362
8,01/08/2011,1,0,0,2,0.165,0.535833,0.266804,68,891
9,01/09/2011,1,0,0,1,0.138333,0.434167,0.36195,54,768
10,01/10/2011,1,0,1,1,0.150833,0.482917,0.223267,41,1280
11,01/11/2011,1,0,1,2,0.169091,0.686364,0.122132,43,1220
12,01/12/2011,1,0,1,1,0.172727,0.599545,0.304627,25,1137
13,01/13/2011,1,0,1,1,0.165,0.470417,0.301,38,1368
14,01/14/2011,1,0,1,1,0.16087,0.537826,0.126548,54,1367
15,01/15/2011,1,0,0,2,0.233333,0.49875,0.157963,222,1026
16,01/16/2011,1,0,0,1,0.231667,0.48375,0.188433,251,953
17,01/17/2011,1,0,0,2,0.175833,0.5375,0.194017,117,883
18,01/18/2011,1,0,1,2,0.216667,0.861667,0.146775,9,674
19,01/19/2011,1,0,1,2,0.292174,0.741739,0.208317,78,1572
20,01/20/2011,1,0,1,2,0.261667,0.538333,0.195904,83,1844
21,01/21/2011,1,0,1,1,0.1775,0.457083,0.353242,75,1468
22,01/22/2011,1,0,0,1,0.0591304,0.4,0.17197,93,888
23,01/23/2011,1,0,0,1,0.0965217,0.436522,0.2466,150,836
24,01/24/2011,1,0,1,1,0.0973913,0.491739,0.15833,86,1330
25,01/25/2011,1,0,1,2,0.223478,0.616957,0.129796,186,1799
26,01/26/2011,1,0,1,3,0.2175,0.8625,0.29385,34,472
27,01/27/2011,1,0,1,1,0.195,0.6875,0.113837,15,416
28,01/28/2011,1,0,1,2,0.203478,0.793043,0.1233,38,1129
29,01/29/2011,1,0,0,1,0.196522,0.651739,0.145365,123,975
30,01/30/2011,1,0,0,1,0.216522,0.722174,0.0739826,140,956
31,01/31/2011,1,0,1,2,0.180833,0.60375,0.187192,42,1459
32,02/01/2011,1,0,1,2,0.192174,0.829565,0.053213,47,1313
33,02/02/2011,1,0,1,2,0.26,0.775417,0.264308,72,1454
34,02/03/2011,1,0,1,1,0.186957,0.437826,0.277752,61,1489
35,02/04/2011,1,0,1,2,0.211304,0.585217,0.127839,88,1620
36,02/05/2011,1,0,0,2,0.233333,0.929167,0.161079,100,905
37,02/06/2011,1,0,0,1,0.285833,0.568333,0.1418,354,1269
38,02/07/2011,1,0,1,1,0.271667,0.738333,0.0454083,120,1592
39,02/08/2011,1,0,1,1,0.220833,0.537917,0.36195,64,1466
40,02/09/2011,1,0,1,2,0.134783,0.494783,0.188839,53,1552
41,02/10/2011,1,0,1,1,0.144348,0.437391,0.221935,47,1491
42,02/11/2011,1,0,1,1,0.189091,0.506364,0.10855,149,1597
43,02/12/2011,1,0,0,1,0.2225,0.544167,0.203367,288,1184
44,02/13/2011,1,0,0,1,0.316522,0.457391,0.260883,397,1192
45,02/14/2011,1,0,1,1,0.415,0.375833,0.417908,208,1705
46,02/15/2011,1,0,1,1,0.266087,0.314348,0.291374,140,1675
47,02/16/2011,1,0,1,1,0.318261,0.423478,0.251791,218,1897
48,02/17/2011,1,0,1,1,0.435833,0.505,0.230104,259,2216
49,02/18/2011,1,0,1,1,0.521667,0.516667,0.264925,579,2348
50,02/19/2011,1,0,0,1,0.399167,0.187917,0.507463,532,1103
51,02/20/2011,1,0,0,1,0.285217,0.407826,0.223235,639,1173
52,02/21/2011,1,0,0,2,0.303333,0.605,0.307846,195,912
53,02/22/2011,1,0,1,1,0.182222,0.577778,0.195683,74,1376
54,02/23/2011,1,0,1,1,0.221739,0.423043,0.094113,139,1778
55,02/24/2011,1,0,1,2,0.295652,0.697391,0.250496,100,1707
56,02/25/2011,1,0,1,2,0.364348,0.712174,0.346539,120,1341
57,02/26/2011,1,0,0,1,0.2825,0.537917,0.186571,424,1545
58,02/27/2011,1,0,0,1,0.343478,0.68,0.125248,694,1708
59,02/28/2011,1,0,1,2,0.407273,0.876364,0.289686,81,1365
60,03/01/2011,1,0,1,1,0.266667,0.535,0.216425,137,1714
61,03/02/2011,1,0,1,1,0.335,0.449583,0.307833,231,1903
62,03/03/2011,1,0,1,1,0.198333,0.318333,0.225754,123,1562
63,03/04/2011,1,0,1,2,0.261667,0.610417,0.203346,214,1730
64,03/05/2011,1,0,0,2,0.384167,0.789167,0.251871,640,1437
65,03/06/2011,1,0,0,2,0.376522,0.948261,0.343287,114,491
66,03/07/2011,1,0,1,1,0.261739,0.551304,0.341352,244,1628
67,03/08/2011,1,0,1,1,0.2925,0.420833,0.12065,316,1817
68,03/09/2011,1,0,1,2,0.295833,0.775417,0.22015,191,1700
69,03/10/2011,1,0,1,3,0.389091,0,0.261877,46,577
70,03/11/2011,1,0,1,2,0.316522,0.649565,0.23297,247,1730
71,03/12/2011,1,0,0,1,0.329167,0.594583,0.220775,724,1408
72,03/13/2011,1,0,0,1,0.384348,0.527391,0.270604,982,1435
73,03/14/2011,1,0,1,1,0.325217,0.496957,0.136926,359,1687
74,03/15/2011,1,0,1,2,0.317391,0.655652,0.184309,289,1767
75,03/16/2011,1,0,1,2,0.365217,0.776522,0.203117,321,1871
76,03/17/2011,1,0,1,1,0.415,0.602917,0.209579,424,2320
77,03/18/2011,1,0,1,1,0.54,0.525217,0.231017,884,2355
78,03/19/2011,1,0,0,1,0.4725,0.379167,0.368167,1424,1693
79,03/20/2011,1,0,0,1,0.3325,0.47375,0.207721,1047,1424
80,03/21/2011,2,0,1,2,0.430435,0.737391,0.288783,401,1676
81,03/22/2011,2,0,1,1,0.441667,0.624583,0.22575,460,2243
82,03/23/2011,2,0,1,2,0.346957,0.839565,0.234261,203,1918
83,03/24/2011,2,0,1,2,0.285,0.805833,0.243787,166,1699
84,03/25/2011,2,0,1,1,0.264167,0.495,0.230725,300,1910
85,03/26/2011,2,0,0,1,0.265833,0.394167,0.209571,981,1515
86,03/27/2011,2,0,0,2,0.253043,0.493913,0.1843,472,1221
87,03/28/2011,2,0,1,1,0.264348,0.302174,0.212204,222,1806
88,03/29/2011,2,0,1,1,0.3025,0.314167,0.226996,317,2108
89,03/30/2011,2,0,1,2,0.3,0.646667,0.172888,168,1368
90,03/31/2011,2,0,1,3,0.268333,0.918333,0.217646,179,1506
91,04/01/2011,2,0,1,2,0.3,0.68625,0.258708,307,1920
92,04/02/2011,2,0,0,2,0.315,0.65375,0.197146,898,1354
93,04/03/2011,2,0,0,1,0.378333,0.48,0.182213,1651,1598
94,04/04/2011,2,0,1,1,0.573333,0.42625,0.385571,734,2381
95,04/05/2011,2,0,1,2,0.414167,0.642083,0.388067,167,1628
96,04/06/2011,2,0,1,1,0.390833,0.470833,0.263063,413,2395
97,04/07/2011,2,0,1,1,0.4375,0.602917,0.162312,571,2570
98,04/08/2011,2,0,1,2,0.335833,0.83625,0.226992,172,1299
99,04/09/2011,2,0,0,2,0.3425,0.8775,0.133083,879,1576
100,04/10/2011,2,0,0,2,0.426667,0.8575,0.146767,1188,1707
101,04/11/2011,2,0,1,2,0.595652,0.716956,0.324474,855,2493
102,04/12/2011,2,0,1,2,0.5025,0.739167,0.274879,257,1777
103,04/13/2011,2,0,1,2,0.4125,0.819167,0.250617,209,1953
104,04/14/2011,2,0,1,1,0.4675,0.540417,0.1107,529,2738
105,04/15/2011,2,0,0,1,0.446667,0.67125,0.226375,642,2484
106,04/16/2011,2,0,0,3,0.430833,0.888333,0.340808,121,674
107,04/17/2011,2,0,0,1,0.456667,0.479583,0.303496,1558,2186
108,04/18/2011,2,0,1,1,0.5125,0.5425,0.163567,669,2760
109,04/19/2011,2,0,1,2,0.505833,0.665833,0.157971,409,2795
110,04/20/2011,2,0,1,1,0.595,0.614167,0.241925,613,3331
111,04/21/2011,2,0,1,1,0.459167,0.407083,0.325258,745,3444
112,04/22/2011,2,0,1,2,0.336667,0.729583,0.219521,177,1506
113,04/23/2011,2,0,0,2,0.46,0.887917,0.230725,1462,2574
114,04/24/2011,2,0,0,2,0.581667,0.810833,0.192175,1710,2481
115,04/25/2011,2,0,1,1,0.606667,0.776667,0.185333,773,3300
116,04/26/2011,2,0,1,1,0.631667,0.729167,0.3265,678,3722
117,04/27/2011,2,0,1,2,0.62,0.835417,0.3122,547,3325
118,04/28/2011,2,0,1,2,0.6175,0.700833,0.320908,569,3489
119,04/29/2011,2,0,1,1,0.51,0.457083,0.240063,878,3717
120,04/30/2011,2,0,0,1,0.4725,0.503333,0.235075,1965,3347
121,05/01/2011,2,0,0,2,0.451667,0.762083,0.106354,1138,2213
122,05/02/2011,2,0,1,2,0.549167,0.73,0.183454,847,3554
123,05/03/2011,2,0,1,2,0.616667,0.697083,0.342667,603,3848
124,05/04/2011,2,0,1,2,0.414167,0.737083,0.328996,255,2378
125,05/05/2011,2,0,1,1,0.459167,0.444167,0.295392,614,3819
126,05/06/2011,2,0,1,1,0.479167,0.59,0.228246,894,3714
127,05/07/2011,2,0,0,1,0.52,0.54125,0.16045,1612,3102
128,05/08/2011,2,0,0,1,0.528333,0.631667,0.0746375,1401,2932
129,05/09/2011,2,0,1,1,0.5325,0.58875,0.176,664,3698
130,05/10/2011,2,0,1,1,0.5325,0.489167,0.115671,694,4109
131,05/11/2011,2,0,1,1,0.5425,0.632917,0.120642,550,3632
132,05/12/2011,2,0,1,1,0.535,0.7475,0.189667,695,4169
133,05/13/2011,2,0,1,2,0.5125,0.863333,0.179725,692,3413
134,05/14/2011,2,0,0,2,0.520833,0.9225,0.13495,902,2507
135,05/15/2011,2,0,0,2,0.5625,0.867083,0.152979,1582,2971
136,05/16/2011,2,0,1,1,0.5775,0.787917,0.126871,773,3185
137,05/17/2011,2,0,1,2,0.561667,0.837917,0.277354,678,3445
138,05/18/2011,2,0,1,2,0.55,0.87,0.201492,536,3319
139,05/19/2011,2,0,1,2,0.530833,0.829583,0.108213,735,3840
140,05/20/2011,2,0,1,1,0.536667,0.719583,0.125013,909,4008
141,05/21/2011,2,0,0,1,0.6025,0.626667,0.12065,2258,3547
142,05/22/2011,2,0,0,1,0.604167,0.749583,0.148008,1576,3084
143,05/23/2011,2,0,1,2,0.631667,0.81,0.233842,836,3438
144,05/24/2011,2,0,1,2,0.66,0.740833,0.207092,659,3833
145,05/25/2011,2,0,1,1,0.660833,0.69625,0.154233,740,4238
146,05/26/2011,2,0,1,1,0.708333,0.6775,0.199642,758,3919
147,05/27/2011,2,0,1,1,0.681667,0.65375,0.240679,871,3808
148,05/28/2011,2,0,0,1,0.655833,0.729583,0.230092,2001,2757
149,05/29/2011,2,0,0,1,0.6675,0.81875,0.213938,2355,2433
150,05/30/2011,2,0,0,1,0.733333,0.685,0.131225,1549,2549
151,05/31/2011,2,0,1,1,0.775,0.636667,0.111329,673,3309
152,06/01/2011,2,0,1,2,0.764167,0.677083,0.207092,513,3461
153,06/02/2011,2,0,1,1,0.715,0.305,0.292287,736,4232
154,06/03/2011,2,0,1,1,0.62,0.354167,0.253121,898,4414
155,06/04/2011,2,0,0,1,0.635,0.45625,0.123142,1869,3473
156,06/05/2011,2,0,0,2,0.648333,0.6525,0.138692,1685,3221
157,06/06/2011,2,0,1,1,0.678333,0.6,0.121896,673,3875
158,06/07/2011,2,0,1,1,0.7075,0.597917,0.187808,763,4070
159,06/08/2011,2,0,1,1,0.775833,0.622083,0.136817,676,3725
160,06/09/2011,2,0,1,2,0.808333,0.568333,0.149883,563,3352
161,06/10/2011,2,0,1,1,0.755,0.605,0.140554,815,3771
162,06/11/2011,2,0,0,1,0.725,0.654583,0.15485,1729,3237
163,06/12/2011,2,0,0,1,0.6925,0.747917,0.163567,1467,2993
164,06/13/2011,2,0,1,1,0.635,0.494583,0.30535,863,4157
165,06/14/2011,2,0,1,1,0.604167,0.507083,0.269283,727,4164
166,06/15/2011,2,0,1,1,0.626667,0.471667,0.167912,769,4411
167,06/16/2011,2,0,1,2,0.628333,0.688333,0.206471,545,3222
168,06/17/2011,2,0,1,1,0.649167,0.735833,0.143029,863,3981
169,06/18/2011,2,0,0,1,0.696667,0.670417,0.119408,1807,3312
170,06/19/2011,2,0,0,2,0.699167,0.666667,0.102,1639,3105
171,06/20/2011,2,0,1,2,0.635,0.74625,0.155475,699,3311
172,06/21/2011,3,0,1,2,0.680833,0.770417,0.171025,774,4061
173,06/22/2011,3,0,1,1,0.733333,0.7075,0.172262,661,3846
174,06/23/2011,3,0,1,2,0.728333,0.703333,0.238804,746,4044
175,06/24/2011,3,0,1,1,0.724167,0.573333,0.222025,969,4022
176,06/25/2011,3,0,0,1,0.695,0.483333,0.209571,1782,3420
177,06/26/2011,3,0,0,1,0.68,0.513333,0.0945333,1920,3385
178,06/27/2011,3,0,1,2,0.6825,0.658333,0.107588,854,3854
179,06/28/2011,3,0,1,1,0.744167,0.634167,0.144283,732,3916
180,06/29/2011,3,0,1,1,0.728333,0.497917,0.261821,848,4377
181,06/30/2011,3,0,1,1,0.696667,0.434167,0.185312,1027,4488
182,07/01/2011,3,0,1,1,0.7225,0.39625,0.102608,1246,4116
183,07/02/2011,3,0,0,1,0.738333,0.444583,0.115062,2204,2915
184,07/03/2011,3,0,0,2,0.716667,0.6825,0.228858,2282,2367
185,07/04/2011,3,0,0,2,0.726667,0.637917,0.0814792,3065,2978
186,07/05/2011,3,0,1,1,0.746667,0.590417,0.126258,1031,3634
187,07/06/2011,3,0,1,1,0.72,0.743333,0.149883,784,3845
188,07/07/2011,3,0,1,1,0.75,0.65125,0.1592,754,3838
189,07/08/2011,3,0,1,2,0.709167,0.757917,0.225129,692,3348
190,07/09/2011,3,0,0,1,0.733333,0.609167,0.167912,1988,3348
191,07/10/2011,3,0,0,1,0.7475,0.578333,0.183471,1743,3138
192,07/11/2011,3,0,1,1,0.7625,0.635833,0.282337,723,3363
193,07/12/2011,3,0,1,1,0.794167,0.559167,0.200254,662,3596
194,07/13/2011,3,0,1,1,0.746667,0.631667,0.146133,748,3594
195,07/14/2011,3,0,1,1,0.680833,0.47625,0.240667,888,4196
196,07/15/2011,3,0,1,1,0.663333,0.59125,0.182833,1318,4220
197,07/16/2011,3,0,0,1,0.686667,0.585,0.208342,2418,3505
198,07/17/2011,3,0,0,1,0.719167,0.604167,0.245033,2006,3296
199,07/18/2011,3,0,1,1,0.746667,0.65125,0.215804,841,3617
200,07/19/2011,3,0,1,1,0.776667,0.650417,0.1306,752,3789
201,07/20/2011,3,0,1,1,0.768333,0.707083,0.113817,644,3688
202,07/21/2011,3,0,1,2,0.815,0.69125,0.222021,632,3152
203,07/22/2011,3,0,1,1,0.848333,0.580417,0.1331,562,2825
204,07/23/2011,3,0,0,1,0.849167,0.5,0.131221,987,2298
205,07/24/2011,3,0,0,1,0.83,0.550833,0.169171,1050,2556
206,07/25/2011,3,0,1,1,0.743333,0.757083,0.0908083,568,3272
207,07/26/2011,3,0,1,1,0.771667,0.540833,0.200258,750,3840
208,07/27/2011,3,0,1,1,0.775,0.402917,0.183463,755,3901
209,07/28/2011,3,0,1,1,0.779167,0.583333,0.178479,606,3784
210,07/29/2011,3,0,1,1,0.838333,0.5425,0.174138,670,3176
211,07/30/2011,3,0,0,1,0.804167,0.465833,0.168537,1559,2916
212,07/31/2011,3,0,0,1,0.805833,0.480833,0.164813,1524,2778
213,08/01/2011,3,0,1,1,0.771667,0.550833,0.156717,729,3537
214,08/02/2011,3,0,1,1,0.783333,0.49125,0.20585,801,4044
215,08/03/2011,3,0,1,2,0.731667,0.6575,0.135583,467,3107
216,08/04/2011,3,0,1,2,0.71,0.7575,0.19715,799,3777
217,08/05/2011,3,0,1,1,0.710833,0.630833,0.184696,1023,3843
218,08/06/2011,3,0,0,2,0.716667,0.755,0.22825,1521,2773
219,08/07/2011,3,0,0,1,0.7425,0.752917,0.201487,1298,2487
220,08/08/2011,3,0,1,1,0.765,0.592083,0.192175,846,3480
221,08/09/2011,3,0,1,1,0.775,0.570417,0.151121,907,3695
222,08/10/2011,3,0,1,1,0.766667,0.424167,0.200258,884,3896
223,08/11/2011,3,0,1,1,0.7175,0.42375,0.164796,812,3980
224,08/12/2011,3,0,1,1,0.708333,0.415,0.125621,1051,3854
225,08/13/2011,3,0,0,2,0.685833,0.729583,0.211454,1504,2646
226,08/14/2011,3,0,0,2,0.676667,0.8175,0.222633,1338,2482
227,08/15/2011,3,0,1,1,0.665833,0.712083,0.208954,775,3563
228,08/16/2011,3,0,1,1,0.700833,0.578333,0.236329,721,4004
229,08/17/2011,3,0,1,1,0.723333,0.575417,0.143667,668,4026
230,08/18/2011,3,0,1,1,0.711667,0.654583,0.233208,639,3166
231,08/19/2011,3,0,1,2,0.685,0.722917,0.139308,797,3356
232,08/20/2011,3,0,0,1,0.6975,0.674167,0.104467,1914,3277
233,08/21/2011,3,0,0,1,0.710833,0.77,0.248754,1249,2624
234,08/22/2011,3,0,1,1,0.691667,0.47,0.27675,833,3925
235,08/23/2011,3,0,1,1,0.640833,0.455417,0.146763,1281,4614
236,08/24/2011,3,0,1,1,0.673333,0.605,0.253108,949,4181
237,08/25/2011,3,0,1,2,0.684167,0.771667,0.210833,435,3107
238,08/26/2011,3,0,1,1,0.7,0.76125,0.0839625,768,3893
239,08/27/2011,3,0,0,2,0.68,0.85,0.375617,226,889
240,08/28/2011,3,0,0,1,0.707059,0.561765,0.304659,1415,2919
241,08/29/2011,3,0,1,1,0.636667,0.554583,0.159825,729,3905
242,08/30/2011,3,0,1,1,0.639167,0.548333,0.125008,775,4429
243,08/31/2011,3,0,1,1,0.656667,0.597917,0.0833333,688,4370
244,09/01/2011,3,0,1,1,0.655,0.639167,0.141796,783,4332
245,09/02/2011,3,0,1,2,0.643333,0.727083,0.139929,875,3852
